Product_name,Processor,Graphics adapter,Memory,Display,Storage,Size,Battery,Camera,Weight,Price,URL_link
ADATA XPG Xenia Xe,"Intel Core i7-1165G7 4 x 2.8 - 4.7 GHz, 50 W PL2 / Short Burst, 40 W PL1 / Sustained, Tiger Lake UP3","Intel Iris Xe Graphics G7 96EUs, Core: 1300 MHz, Memory: 1600 MHz, DDR4, 27.20.100.8729","16384 MB  , LPDDR4x-4266, soldered, 36-39-39-90, Dual-Channel","15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, 10-point capacitive, native pen support, BOE08F5, IPS, 60 Hz","ADATA XPG Gammix S50 1TB, 1024 GB  ",height x width x depth (in mm): 14.9 x 355 x 230 ( = 0.59 x 13.98 x 9.06 in),73.41 Wh Lithium-Polymer,Webcam: 720p IRPrimary Camera: 0.9 MPix,"1.67 kg ( = 58.91 oz / 3.68 pounds), Power Supply: 264 g ( = 9.31 oz / 0.58 pounds)",1600 USD,https://www.notebookcheck.net/ADATA-XPG-Xenia-Xe-Review-The-Tiger-Lake-Laptop-Designed-By-Intel.539742.0.html
Lenovo ThinkPad X1 Carbon G9-20XXS00100 (ThinkPad X1 Carbon G9 Series),"Intel Core i7-1165G7 4 x 2.8 - 4.7 GHz, 36 W PL2 / Short Burst, 28 W PL1 / Sustained, Tiger Lake UP3",Intel Iris Xe Graphics G7 96EUs,"32768 MB  , LPDDR4X-4266, on-board, Dual-Channel","14.00 inch 16:10, 1920 x 1200 pixel 162 PPI, B140UAN02.1, IPS, glossy: no, 60 Hz","Samsung PM9A1 MZVL21T0HCLR, 1024 GB  , 953 GB free",height x width x depth (in mm): 14.9 x 314.5 x 221.5 ( = 0.59 x 12.38 x 8.72 in),57 Wh Lithium-Polymer,Webcam: 720p w/IR & ThinkShutterPrimary Camera: 0.9 MPix,"1.175 kg ( = 41.45 oz / 2.59 pounds), Power Supply: 321 g ( = 11.32 oz / 0.71 pounds)",1679 Euro,https://www.notebookcheck.net/Lenovo-ThinkPad-X1-Carbon-Gen-9-Review-Longer-battery-runtime-with-the-Full-HD-panel.540209.0.html
Lenovo V17-IIL 82GX008TGE,"Intel Core i3-1005G1 2 x 1.2 - 3.4 GHz, 51 W PL2 / Short Burst, 25 W PL1 / Sustained, Ice Lake U","Intel UHD Graphics G1 (Ice Lake 32 EU), Core: 900 MHz, dual-channel mode, 27.20.100.9466","8192 MB  , DDR4-3200, dual-channel mode, one memory slot (in use), 4 GB onboard, max. 36 GB","17.30 inch 16:9, 1920 x 1080 pixel 127 PPI, AU Optronics B173HAN04.3, IPS, glossy: no, 60 Hz","Samsung PM991 MZALQ256HAJD, 256 GB  , M.2-2242, NVMe, 200 GB free",height x width x depth (in mm): 19.9 x 402 x 281.3 ( = 0.78 x 15.83 x 11.07 in),"42 Wh, 3735 mAh Lithium-Polymer",Webcam: VGAPrimary Camera: 0.3 MPix,"2.2 kg ( = 77.6 oz / 4.85 pounds), Power Supply: 220 g ( = 7.76 oz / 0.49 pounds)",599 Euro,https://www.notebookcheck.net/Lenovo-V17-IIL-review-A-quiet-home-office-laptop-with-a-good-display.539673.0.html
HP Spectre x360 13-aw2003dx (Spectre x360 13 Series),"Intel Core i5-1135G7 4 x 2.4 - 4.2 GHz, 51 W PL2 / Short Burst, 20 W PL1 / Sustained, Tiger Lake UP3","Intel Iris Xe Graphics G7 80EUs, Core: 2000 MHz, Memory: 1300 MHz, DDR4, 27.20.100.9079","8192 MB  , LPDDR4 2133 MHz, soldered, 36-39-39-40, Dual-Channel","13.30 inch 16:9, 3840 x 2160 pixel 331 PPI, 10-point capacitive, native pen support, Samsung SDC4149, OLED, glossy: yes, 60 Hz","Intel Optane Memory H10 with Solid State Storage 32GB + 512GB HBRPEKNX0202A(L/H), 512 GB  ",height x width x depth (in mm): 16.9 x 306.7 x 194.5 ( = 0.67 x 12.07 x 7.66 in),60 Wh Lithium-Polymer,Webcam: 720p IRPrimary Camera: 0.9 MPix,"1.223 kg ( = 43.14 oz / 2.7 pounds), Power Supply: 267 g ( = 9.42 oz / 0.59 pounds)",1300 USD,https://www.notebookcheck.net/HP-Spectre-x360-13-11th-Gen-Intel-Convertible-Review-Proof-That-OLED-Isn-t-Everything.539285.0.html
Microsoft Surface Laptop 4 13 i7 (Surface Laptop 4 Series),"Intel Core i7-1185G7 4 x 3 - 4.8 GHz, 50 W PL2 / Short Burst, 30 W PL1 / Sustained, Tiger Lake UP3","Intel Iris Xe Graphics G7 96EUs, Core: 1350 MHz, Memory: 2000 MHz","16384 MB  , LPDDR4x-4266, Dual-Channel, onboard","13.50 inch 3:2, 2256 x 1504 pixel 201 PPI, capacitive, LQ135P1JX51, IPS, glossy: yes, 60 Hz","Samsung PM991 MZ9LQ512HALU, 512 GB  , 426 GB free",height x width x depth (in mm): 14.5 x 308 x 223 ( = 0.57 x 12.13 x 8.78 in),47.4 Wh Lithium-Polymer,Webcam: 720p,"1.346 kg ( = 47.48 oz / 2.97 pounds), Power Supply: 306 g ( = 10.79 oz / 0.67 pounds)",1849 Euro,https://www.notebookcheck.net/Microsoft-Surface-Laptop-4-13-Laptop-Review-Too-expensive-with-Intel-CPU.539455.0.html
HP 255 G7 159P1EA,"AMD Ryzen 3 3200U 2 x 2.6 - 3.5 GHz, Zen+","AMD Radeon RX Vega 3, Core: 1200 MHz, single-channel mode, 27.20.1030.1 (Adrenalin 20.10.30)","8192 MB  , DDR4-2666, single-channel mode, two memory slots (one slot in use)","15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, BOE0687, TN LED, glossy: no, 60 Hz","WDC PC SN530 SDBPNPZ-512G, 512 GB  , M.2-2280, NVMe, 437 GB free",height x width x depth (in mm): 22.5 x 376 x 246 ( = 0.89 x 14.8 x 9.69 in),"41 Wh, 3440 mAh Lithium-Ion, 3-cell",Webcam: HDPrimary Camera: 0.9 MPix,"1.78 kg ( = 62.79 oz / 3.92 pounds), Power Supply: 263 g ( = 9.28 oz / 0.58 pounds)",699 Euro,https://www.notebookcheck.net/HP-255-G7-in-review-Multiple-weaknesses-no-strengths.539142.0.html
Lenovo ThinkPad X1 Carbon G9-20XWCTO1WW (ThinkPad X1 Carbon G9 Series),"Intel Core i7-1165G7 4 x 2.8 - 4.7 GHz, 36 W PL2 / Short Burst, 28 W PL1 / Sustained, Tiger Lake UP3",Intel Iris Xe Graphics G7 96EUs,"32768 MB  , LPDDR4X-4266, on-board, Quad-Channel","14.00 inch 16:10, 3840 x 2400 pixel 323 PPI, MNE007A1-2, IPS LED, glossy: yes, HDR","Samsung PM9A1 MZVL21T0HCLR, 1024 GB  , M.2 2280, NVMe PCIe 4.0, 845 GB free",height x width x depth (in mm): 14.9 x 315 x 221.6 ( = 0.59 x 12.4 x 8.72 in),57 Wh Lithium-Polymer,Webcam: 720p w/IR & ThinkShutter,"1.156 kg ( = 40.78 oz / 2.55 pounds), Power Supply: 332 g ( = 11.71 oz / 0.73 pounds)",2520 Euro,https://www.notebookcheck.net/Lenovo-ThinkPad-X1-Carbon-Gen-9-Laptop-Review-Big-16-10-upgrade-with-Intel-Tiger-Lake.537905.0.html
HP ProBook 440 G8-2W1G4EA,"Intel Core i7-1165G7 4 x 2.8 - 4.7 GHz, 17 W PL2 / Short Burst, 14 W PL1 / Sustained, Tiger Lake UP3",Intel Iris Xe Graphics G7 96EUs,"16384 MB  , single-channel","14.00 inch 16:9, 1920 x 1080 pixel 157 PPI, AU Optronics AUO818B, VA, glossy: no","Lite-On CL1-8D512, 512 GB  , 450 GB free",height x width x depth (in mm): 19 x 322 x 214 ( = 0.75 x 12.68 x 8.43 in),45 Wh Lithium-Polymer,"Webcam: 0.9 MP, 16:9 (1280x720)","1.38 kg ( = 48.68 oz / 3.04 pounds), Power Supply: 283 g ( = 9.98 oz / 0.62 pounds)",1120 Euro,https://www.notebookcheck.net/HP-ProBook-440-G8-review-Robust-office-laptop-with-a-Tiger-Lake-CPU.537988.0.html
Lenovo ThinkPad T15 Gen2-20W5S00100 (ThinkPad T15 Series),"Intel Core i7-1165G7 4 x 2.8 - 4.7 GHz, 64 W PL2 / Short Burst, 35 W PL1 / Sustained, Tiger Lake UP3","NVIDIA GeForce MX450 - 2048 MB, Core: 930 MHz, Memory: 1250 MHz, NVIDIA 466.11, Intel Iris Xe Graphics G7 96 EUs","16384 MB  , Single-Channel","15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, B156HAN02.1, IPS, glossy: no, 60 Hz","Samsung PM981a MZVLB1T0HBLR, 1024 GB  , 917 GB free",height x width x depth (in mm): 19.1 x 365.8 x 248 ( = 0.75 x 14.4 x 9.76 in),57 Wh Lithium-Polymer,"Webcam: 0.9 MP, 16:9 (1280x720)","1.9 kg ( = 67.02 oz / 4.19 pounds), Power Supply: 363 g ( = 12.8 oz / 0.8 pounds)",1350 Euro,https://www.notebookcheck.net/Lenovo-ThinkPad-T15-Gen2-laptop-in-review-Business-combined-with-media-GPU-and-Tiger-Lake.537474.0.html
Asus ZenBook 13 UM325S (ZenBook 13 UM325 Series),"AMD Ryzen 7 5800U 8 x 1.9 - 4.4 GHz, 30 W PL2 / Short Burst, 25 W PL1 / Sustained, Cezanne U (Zen 3)","AMD Radeon RX Vega 8 (Ryzen 5000), Adrenalin 20.40.32","16384 MB  , DDR4-3733, dual-channel, built-in","13.30 inch 16:9, 1920 x 1080 pixel 166 PPI, Samsung (SDC4158), OLED, glossy: yes, 60 Hz","SK Hynix HFM001TD3JX013N, 1024 GB  , M.2 2280 NVMe, 950 GB free",height x width x depth (in mm): 13.9 x 304 x 203 ( = 0.55 x 11.97 x 7.99 in),"67 Wh, 4220 mAh Lithium-Ion",Webcam: 720pPrimary Camera: 0.9 MPixSecondary Camera: IR (Windows Hello),"1.158 kg ( = 40.85 oz / 2.55 pounds), Power Supply: 216 g ( = 7.62 oz / 0.48 pounds)",,https://www.notebookcheck.net/Asus-ZenBook-13-Review-A-compact-13-inch-laptop-with-a-fast-Ryzen-7-5800U-and-OLED-display.537640.0.html
