Date,Close
8/2/2019 15:30:00,265.6
8/5/2019 15:30:00,260.9
8/6/2019 15:30:00,270.55
8/7/2019 15:30:00,269.4
8/8/2019 15:30:00,270.9
8/9/2019 15:30:00,265.5
8/13/2019 15:30:00,263.6
8/14/2019 15:30:00,267
8/16/2019 15:30:00,266.85
8/19/2019 15:30:00,268.2
8/20/2019 15:30:00,265.9
8/21/2019 15:30:00,261.45
8/22/2019 15:30:00,258.7
8/23/2019 15:30:00,265.95
8/26/2019 15:30:00,269.05
8/27/2019 15:30:00,266.4
8/28/2019 15:30:00,280.05
8/29/2019 15:30:00,274.55
8/30/2019 15:30:00,278.5
9/3/2019 15:30:00,271.2
9/4/2019 15:30:00,267
9/5/2019 15:30:00,264.45
9/6/2019 15:30:00,262.75
9/9/2019 15:30:00,263.8
9/11/2019 15:30:00,259.35
9/12/2019 15:30:00,262.3
9/13/2019 15:30:00,259
9/16/2019 15:30:00,257.5
9/17/2019 15:30:00,256.25
9/18/2019 15:30:00,259.75
9/19/2019 15:30:00,254.45
9/20/2019 15:30:00,267.35
9/23/2019 15:30:00,273.65
9/24/2019 15:30:00,275
9/25/2019 15:30:00,279.45
9/26/2019 15:30:00,279.9
9/27/2019 15:30:00,281.95
9/30/2019 15:30:00,276
10/1/2019 15:30:00,270.65
10/3/2019 15:30:00,272.75
10/4/2019 15:30:00,266.2
10/7/2019 15:30:00,265.7
10/9/2019 15:30:00,269.95
10/10/2019 15:30:00,266.65
10/11/2019 15:30:00,272.05
10/14/2019 15:30:00,275.75
10/15/2019 15:30:00,277.75
10/16/2019 15:30:00,275.55
10/17/2019 15:30:00,279.45
10/18/2019 15:30:00,282
10/22/2019 15:30:00,281.75
10/23/2019 15:30:00,278.85
10/24/2019 15:30:00,281.1
10/25/2019 19:00:00,279.6
10/27/2019 19:25:00,280
10/29/2019 15:30:00,283.4
10/30/2019 15:30:00,291.75
10/31/2019 15:30:00,317
11/1/2019 15:30:00,304.95
11/4/2019 15:30:00,306.6
11/5/2019 15:30:00,300.5
11/6/2019 15:30:00,299.9
11/7/2019 15:30:00,300.85
11/8/2019 15:30:00,295.2
11/11/2019 15:30:00,294.95
11/13/2019 15:30:00,289.5
11/14/2019 15:30:00,295.5
11/15/2019 15:30:00,297.75
11/18/2019 15:30:00,305.3
11/19/2019 15:30:00,302.5
11/20/2019 15:30:00,306.8
11/21/2019 15:30:00,301.8
11/22/2019 15:30:00,299.6
11/25/2019 15:30:00,302.15
11/26/2019 15:30:00,299.5
11/27/2019 15:30:00,307.35
11/28/2019 15:30:00,318.7
11/29/2019 15:30:00,323.15
12/3/2019 15:30:00,314.4
12/4/2019 15:30:00,318.9
12/5/2019 15:30:00,315.6
12/6/2019 15:30:00,313.75
12/9/2019 15:30:00,315.45
12/10/2019 15:30:00,312.85
12/11/2019 15:30:00,314.35
12/12/2019 15:30:00,323.55
12/13/2019 15:30:00,328.05
12/16/2019 15:30:00,322.25
12/17/2019 15:30:00,325.15
12/18/2019 15:30:00,312.35
12/19/2019 15:30:00,313.95
12/20/2019 15:30:00,312.65
12/23/2019 15:30:00,314.9
12/24/2019 15:30:00,315.35
12/26/2019 15:30:00,312.9
12/27/2019 15:30:00,318.45
12/30/2019 15:30:00,321.4
12/31/2019 15:30:00,321.35
1/1/2020 15:30:00,323.85
1/2/2020 15:30:00,323.35
1/3/2020 15:30:00,318.2
1/6/2020 15:30:00,312.1
1/7/2020 15:30:00,314.9
1/8/2020 15:30:00,316.25
1/9/2020 15:30:00,328.55
1/10/2020 15:30:00,341.35
1/13/2020 15:30:00,352.95
1/14/2020 15:30:00,389.6
1/15/2020 15:30:00,391.45
1/16/2020 15:30:00,384.25
1/17/2020 15:30:00,380.3
1/20/2020 15:30:00,383.15
1/21/2020 15:30:00,385.8
1/22/2020 15:30:00,385.05
1/23/2020 15:30:00,393.25
1/24/2020 15:30:00,384.6
1/27/2020 15:30:00,382.4
1/28/2020 15:30:00,380.7
1/29/2020 15:30:00,383.45
1/30/2020 15:30:00,381.6
1/31/2020 15:30:00,383.4
2/1/2020 17:00:00,374.9
2/3/2020 15:30:00,378.85
2/4/2020 15:30:00,379.9
2/5/2020 15:30:00,394.6
2/6/2020 15:30:00,392.05
2/7/2020 15:30:00,396.7
2/10/2020 15:30:00,392.3
2/11/2020 15:30:00,390.6
2/12/2020 15:30:00,395.15
2/13/2020 15:30:00,392.55
2/14/2020 15:30:00,396.9
2/17/2020 15:30:00,381.05
2/18/2020 15:30:00,382
2/19/2020 15:30:00,383.15
2/20/2020 15:30:00,380.5
2/24/2020 15:30:00,369.1
2/25/2020 15:30:00,369
2/26/2020 15:30:00,365.65
2/27/2020 15:30:00,363.3
2/28/2020 15:30:00,346.15
3/2/2020 15:30:00,338.8
3/3/2020 15:30:00,355.3
3/4/2020 15:30:00,349.2
3/5/2020 15:30:00,348.5
3/6/2020 15:30:00,344.5
3/9/2020 15:30:00,330.1
3/11/2020 15:30:00,327.85
3/12/2020 15:30:00,303.45
3/13/2020 15:30:00,324.25
3/16/2020 15:30:00,300.3
3/17/2020 15:30:00,283.85
3/18/2020 15:30:00,267.45
3/19/2020 15:30:00,250.75
3/20/2020 15:30:00,264.2
3/23/2020 15:30:00,226.5
3/24/2020 15:30:00,249.05
3/25/2020 15:30:00,277.15
